taxon,mass_g,source_mass,n,kingdom,phylum,class,order,family,genus,species,confidence
Etropus_crossotus,3.6,Viana_2016,,Animalia,Chordata,,Pleuronectiformes,Paralichthyidae,Etropus,Etropus crossotus,99.0
Etrumeus_sadina,317.2,Cai_etal_2025,1.0,Animalia,Chordata,,Clupeiformes,Dussumieriidae,Etrumeus,Etrumeus sadina,99.0
Eubalichthys_mosaicus,3387.8,Cai_etal_2025,1.0,Animalia,Chordata,,Tetraodontiformes,Monacanthidae,Eubalichthys,Eubalichthys mosaicus,99.0
Euchiloglanis_kishinouyei,84.2,Cai_etal_2025,1.0,Animalia,Chordata,,Siluriformes,Sisoridae,Euchiloglanis,Euchiloglanis kishinouyei,99.0
Eucinostomus_argenteus,9.4,Viana_2016,,Animalia,Chordata,,Perciformes,Gerreidae,Eucinostomus,Eucinostomus argenteus,99.0
Eucinostomus_entomelas,172.0,fishbase,1.0,Animalia,Chordata,,Perciformes,Gerreidae,Eucinostomus,Eucinostomus entomelas,99.0
Eucinostomus_gracilis,110.699996948242,fishbase,1.0,Animalia,Chordata,,Perciformes,Gerreidae,Eucinostomus,Eucinostomus gracilis,99.0
Eucinostomus_gula,6.3,Viana_2016,,Animalia,Chordata,,Perciformes,Gerreidae,Eucinostomus,Eucinostomus gula,99.0
Eucinostomus_havana,23.4,Viana_2016,,Animalia,Chordata,,Perciformes,Gerreidae,Eucinostomus,Eucinostomus havana,99.0
Eucinostomus_jonesii,16.8999996185303,fishbase,1.0,Animalia,Chordata,,Perciformes,Gerreidae,Eucinostomus,Eucinostomus jonesii,99.0
Eucinostomus_melanopterus,26.5,fishbase,1.0,Animalia,Chordata,,Perciformes,Gerreidae,Eucinostomus,Eucinostomus melanopterus,99.0
Eucyclogobius_newberryi,1.4,Cai_etal_2025,1.0,Animalia,Chordata,,Perciformes,Gobiidae,Eucyclogobius,Eucyclogobius newberryi,99.0
Eudorylaimus_consobrinus,3.618e-06,rdataretriever-predator-prey-body-ratio,1.0,Animalia,Nematoda,,Dorylaimida,Qudsianematidae,Epidorylaimus,Epidorylaimus consobrinus,98.0
Eugnathogobius_polylepis,0.2,Cai_etal_2025,1.0,Animalia,Chordata,,Perciformes,Gobiidae,Wuhanlinigobius,Wuhanlinigobius polylepis,98.0
Eugnathogobius_variegatus,0.2,Cai_etal_2025,1.0,Animalia,Chordata,,Perciformes,Gobiidae,Eugnathogobius,Eugnathogobius variegatus,99.0
Eumegistus_brevorti,4332.20498129994,fishbase,1.0,Animalia,Chordata,,Perciformes,Bramidae,Eumegistus,Eumegistus brevorti,99.0
Eumegistus_illustris,1320.0,Cai_etal_2025,1.0,Animalia,Chordata,,Perciformes,Bramidae,Eumegistus,Eumegistus illustris,99.0
Eumicrotremus_derjugini,35.8,Frost_1983,,Animalia,Chordata,,Scorpaeniformes,Cyclopteridae,Eumicrotremus,Eumicrotremus derjugini,99.0
Eumicrotremus_spinosus,50.0,Berge_2013,,Animalia,Chordata,,Scorpaeniformes,Cyclopteridae,Eumicrotremus,Eumicrotremus spinosus,99.0
Eurypegasus_draconis,11.0,Cai_etal_2025,1.0,Animalia,Chordata,,Gasterosteiformes,Pegasidae,Eurypegasus,Eurypegasus draconis,99.0
Eurypharynx_pelecanoides,580.0,Cai_etal_2025,1.0,Animalia,Chordata,,Saccopharyngiformes,Eurypharyngidae,Eurypharynx,Eurypharynx pelecanoides,99.0
Eutaeniophorus_festivus,0.7,Cai_etal_2025,1.0,Animalia,Chordata,,Cetomimiformes,Cetomimidae,Eutaeniophorus,Eutaeniophorus festivus,99.0
Euthynnus_affinis,1000.0,Killen_etal_2016,1.0,Animalia,Chordata,,Perciformes,Scombridae,Euthynnus,Euthynnus affinis,99.0
Euthynnus_alletteratus,28840.5,Cai_etal_2025,1.0,Animalia,Chordata,,Perciformes,Scombridae,Euthynnus,Euthynnus alletteratus,99.0
Euthynnus_lineatus,49000.0,fishbase,1.0,Animalia,Chordata,,Perciformes,Scombridae,Euthynnus,Euthynnus lineatus,99.0
Eutrigla_gurnardus,956.0,fishbase,,Animalia,Chordata,,Scorpaeniformes,Triglidae,Eutrigla,Eutrigla gurnardus,99.0
Eutropiichthys_vacha,1400.0,fishbase,,Animalia,Chordata,,Siluriformes,Schilbeidae,Eutropiichthys,Eutropiichthys vacha,99.0
Evermannella,28.935726672621,fishbase; Froese_2014,,Animalia,Chordata,,Aulopiformes,Evermannellidae,Evermannella,,94.0
Eviota_distigma,0.096000000834465,fishbase,1.0,Animalia,Chordata,,Perciformes,Gobiidae,Eviota,Eviota distigma,99.0
Eviota_marerubrum,0.063000001013279,fishbase,1.0,Animalia,Chordata,,Perciformes,Gobiidae,Eviota,Eviota marerubrum,99.0
Eviota_oculopiperita,0.0520000010728836,fishbase,1.0,Animalia,Chordata,,Perciformes,Gobiidae,Eviota,Eviota oculopiperita,99.0
Eviota_pardalota,0.0860000029206276,fishbase,1.0,Animalia,Chordata,,Perciformes,Gobiidae,Eviota,Eviota pardalota,99.0
Evorthodus_lyricus,37.7548634471665,fishbase; Froese_2014,,Animalia,Chordata,,Perciformes,Gobiidae,Evorthodus,Evorthodus lyricus,99.0
Evoxymetopon_poeyi,30233.2,Cai_etal_2025,1.0,Animalia,Chordata,,Perciformes,Trichiuridae,Evoxymetopon,Evoxymetopon poeyi,99.0
Evynnis_cardinalis,900.0,fishbase,1.0,Animalia,Chordata,,Perciformes,Sparidae,Evynnis,Evynnis cardinalis,99.0
