mass_g,kingdom,phylum,class,order,family,genus,species
7.2591732128627e-09,Chromista,Ochrophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,Navicula tripunctata
14.2,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Neacomys,Neacomys guianae
19.0,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Neacomys,Neacomys spinosus
19.0,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Neacomys,Neacomys tenuipes
13.7599963662786,Animalia,Chordata,Aves,Apodiformes,Apodidae,Neafrapus,Neafrapus boehmi
18.5,Animalia,Chordata,Aves,Apodiformes,Apodidae,Neafrapus,Neafrapus cassini
28.135,Animalia,Chordata,Mammalia,Afrosoricida,Chrysochloridae,Neamblysomus,Neamblysomus gunningi
22.0,Animalia,Chordata,Mammalia,Afrosoricida,Chrysochloridae,Neamblysomus,Neamblysomus julianae
0.0376,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Nebria,Nebria brevicollis
75.0,Animalia,Arthropoda,Malacostraca,Decapoda,Polybiidae,Necora,Necora puber
29.0,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Necromys,Necromys amoenus
32.9,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Necromys,Necromys lactens
39.93,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Necromys,Necromys lenguarum
40.7,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Necromys,Necromys obscurus
37.3,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Necromys,Necromys punctulatus
47.2,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Necromys,Necromys temchuki
34.0,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Necromys,Necromys urichi
2075.0,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Necrosyrtes,Necrosyrtes monachus
9.75,Animalia,Chordata,Aves,Passeriformes,Nectariniidae,Chalcomitra,Chalcomitra adelberti
12.1,Animalia,Chordata,Aves,Passeriformes,Nectariniidae,Cinnyris,Cinnyris afer
12.4,Animalia,Chordata,Aves,Passeriformes,Nectariniidae,Cyanomitra,Cyanomitra alinae
10.95,Animalia,Chordata,Aves,Passeriformes,Nectariniidae,Cyanomitra,Cyanomitra bannermani
7.6,Animalia,Chordata,Aves,Passeriformes,Nectariniidae,Cinnyris,Cinnyris bifasciatus
14.775,Animalia,Chordata,Aves,Passeriformes,Nectariniidae,Nectarinia,Nectarinia bocagii
8.5,Animalia,Chordata,Aves,Passeriformes,Nectariniidae,Cinnyris,Cinnyris bouvieri
7.95,Animalia,Chordata,Aves,Passeriformes,Nectariniidae,Cinnyris,Cinnyris chalybeus
7.1,Animalia,Chordata,Aves,Passeriformes,Nectariniidae,Cinnyris,Cinnyris chloropygius
14.3,Animalia,Chordata,Aves,Passeriformes,Nectariniidae,Cinnyris,Cinnyris coccinigastrus
9.0,Animalia,Chordata,Aves,Passeriformes,Nectariniidae,Cinnyris,Cinnyris cupreus
9.2,Animalia,Chordata,Aves,Passeriformes,Nectariniidae,Cinnyris,Cinnyris erythrocercus
10.0,Animalia,Chordata,Aves,Passeriformes,Nectariniidae,Cinnyris,Cinnyris fuscus
9.55,Animalia,Chordata,Aves,Passeriformes,Nectariniidae,Cinnyris,Cinnyris habessinicus
11.9,Animalia,Chordata,Aves,Passeriformes,Nectariniidae,Chalcomitra,Chalcomitra hunteri
13.7,Animalia,Chordata,Aves,Passeriformes,Nectariniidae,Cinnyris,Cinnyris johannae
15.7,Animalia,Chordata,Aves,Passeriformes,Nectariniidae,Nectarinia,Nectarinia johnstoni
8.5,Animalia,Chordata,Aves,Passeriformes,Nectariniidae,Cinnyris,Cinnyris jugularis
15.65,Animalia,Chordata,Aves,Passeriformes,Nectariniidae,Nectarinia,Nectarinia kilimensis
8.25,Animalia,Chordata,Aves,Passeriformes,Nectariniidae,Cinnyris,Cinnyris loveridgei
