mass_g,kingdom,phylum,class,order,family,genus,species
269.0,Animalia,Chordata,Mammalia,Rodentia,Muridae,Abditomys,Abditomys latidens
2.7,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Abeillia,Abeillia abeillei
52.0,Animalia,Chordata,Mammalia,Rodentia,Muridae,Abeomelomys,Abeomelomys sevia
10.0,Animalia,Mollusca,Cephalopoda,Oegopsida,Enoploteuthidae,Abralia,Abralia multihamata
63.0,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Abrawayaomys,Abrawayaomys ruschii
307.0,Animalia,Chordata,Mammalia,Rodentia,Abrocomidae,Abrocoma,Abrocoma bennettii
250.501,Animalia,Chordata,Mammalia,Rodentia,Abrocomidae,Abrocoma,Abrocoma bennettii
158.001,Animalia,Chordata,Mammalia,Rodentia,Abrocomidae,Abrocoma,Abrocoma boliviensis
221.82,Animalia,Chordata,Mammalia,Rodentia,Abrocomidae,Abrocoma,Abrocoma budini
221.82,Animalia,Chordata,Mammalia,Rodentia,Abrocomidae,Abrocoma,Abrocoma famatina
221.82,Animalia,Chordata,Mammalia,Rodentia,Abrocomidae,Abrocoma,Abrocoma shistacea
221.82,Animalia,Chordata,Mammalia,Rodentia,Abrocomidae,Abrocoma,Abrocoma vaccarum
4.85,Animalia,Chordata,Aves,Passeriformes,Cettiidae,Abroscopus,Abroscopus schisticeps
6.5,Animalia,Chordata,Aves,Passeriformes,Cettiidae,Abroscopus,Abroscopus superciliaris
18.0,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Abrothrix,Abrothrix andinus
47.8,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Abrothrix,Abrothrix illuteus
34.5,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Abrothrix,Abrothrix jelskii
32.5,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Abrothrix,Abrothrix lanosus
37.55,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Abrothrix,Abrothrix longipilis
27.0,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Abrothrix,Abrothrix markhami
39.0,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Abrothrix,Abrothrix olivaceus
24.7,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Abrothrix,Abrothrix sanborni
1328.75,Animalia,Chordata,Aves,Galliformes,Cracidae,Aburria,Aburria aburri
1370.0,Animalia,Chordata,Aves,Galliformes,Cracidae,Pipile,Pipile jacutinga
458.530627951159,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,Acacia victoriae
47.4487091499864,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,Acanthagenys,Acanthagenys rufogularis
4.637,Animalia,Arthropoda,Malacostraca,Decapoda,Acanthephyridae,Acanthephyra,Acanthephyra acutifrons
3.618,Animalia,Arthropoda,Malacostraca,Decapoda,Acanthephyridae,Acanthephyra,Acanthephyra curtirostris
3.0,Animalia,Arthropoda,Malacostraca,Decapoda,Acanthephyridae,Acanthephyra,Acanthephyra stylorostratis
0.85,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Acanthina,Acanthina punctulata
0.8,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Acanthinucella,Acanthinucella spirata
0.85,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Acanthinucella,Acanthinucella punctulata
0.8,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Acanthinucella,Acanthinucella spirata
0.000433,Animalia,Mollusca,Gastropoda,Stylommatophora,Valloniidae,Acanthinula,Acanthinula aculeata
13.0,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Acanthis,Acanthis flammea
14.3,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Acanthis,Acanthis hornemanni
6.9,Animalia,Chordata,Aves,Passeriformes,Acanthisittidae,Acanthisitta,Acanthisitta chloris
7.5,Animalia,Chordata,Aves,Passeriformes,Acanthizidae,Acanthiza,Acanthiza apicalis
6.95,Animalia,Chordata,Aves,Passeriformes,Acanthizidae,Acanthiza,Acanthiza ewingii
7.05,Animalia,Chordata,Aves,Passeriformes,Acanthizidae,Acanthiza,Acanthiza inornata
5.75,Animalia,Chordata,Aves,Passeriformes,Acanthizidae,Acanthiza,Acanthiza iredalei
6.75,Animalia,Chordata,Aves,Passeriformes,Acanthizidae,Acanthiza,Acanthiza katherina
7.5,Animalia,Chordata,Aves,Passeriformes,Acanthizidae,Acanthiza,Acanthiza lineata
8.4,Animalia,Chordata,Aves,Passeriformes,Acanthizidae,Acanthiza,Acanthiza murina
6.4,Animalia,Chordata,Aves,Passeriformes,Acanthizidae,Acanthiza,Acanthiza nana
6.975,Animalia,Chordata,Aves,Passeriformes,Acanthizidae,Acanthiza,Acanthiza pusilla
7.55,Animalia,Chordata,Aves,Passeriformes,Acanthizidae,Acanthiza,Acanthiza reguloides
6.05,Animalia,Chordata,Aves,Passeriformes,Acanthizidae,Acanthiza,Acanthiza robustirostris
3.07999992370605,Animalia,Mollusca,Bivalvia,Cardiida,Cardiidae,Acanthocardia,Acanthocardia tuberculata
0.333,Animalia,Mollusca,Polyplacophora,Chitonida,Acanthochitonidae,Acanthochitona,Acanthochitona crinita
1.13e-05,Animalia,Arthropoda,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops,Acanthocyclops robustus
10.118053172424,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,Acanthorhynchus,Acanthorhynchus superciliosus
10.4,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,Acanthorhynchus,Acanthorhynchus tenuirostris
10.2,Animalia,Chordata,Aves,Passeriformes,Acanthizidae,Acanthornis,Acanthornis magna
10.2,Animalia,Chordata,Aves,Passeriformes,Acanthizidae,Acanthornis,Acanthornis magna
140.0,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter badius
203.5,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter brevipes
150.701484730576,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter castanilius
345.0,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter chilensis
138.5,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter chionogaster
152.381101190403,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter cirrocephalus
124.329449153952,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter cooperii
156.0,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter erythrauchen
138.5,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter erythronemius
107.0,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter erythropus
386.852685139964,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter fasciatus
135.25,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter francesiae
267.027808159229,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter gentilis
255.5,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter griseiceps
118.75,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter gularis
675.0,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter gundlachi
240.5,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter haplochrous
1050.0,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter henstii
342.75,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter hiogaster
237.75,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter imitator
213.75,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter luteoschistaceus
182.0,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter madagascariensis
269.0,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter melanochlamys
704.766666666667,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter melanoleucus
815.0,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter meyerianus
82.4599599805869,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter minullus
56.2588160351496,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter nisus
413.196886066195,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter novaehollandiae
166.983033084203,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter ovampensis
225.0,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter poliocephalus
188.5,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter rhodogaster
209.0,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter rufitorques
198.0,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter rufiventris
164.8,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter soloensis
43.5,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter striatus
73.9,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter superciliosus
298.5,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter toussenelii
146.25,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter trinotatus
265.0,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter trivirgatus
138.5,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter ventralis
117.0,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter virgatus
390.0,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Acerodon,Acerodon celebensis
352.43,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Acerodon,Acerodon humilis
1075.0,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Acerodon,Acerodon jubatus
470.333,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Acerodon,Acerodon macklotii
2360.0,Animalia,Chordata,Aves,Bucerotiformes,Bucerotidae,Rhyticeros,Rhyticeros cassidix
1470.0,Animalia,Chordata,Aves,Bucerotiformes,Bucerotidae,Berenicornis,Berenicornis comatus
1590.0,Animalia,Chordata,Aves,Bucerotiformes,Bucerotidae,Rhabdotorrhinus,Rhabdotorrhinus corrugatus
1081.0,Animalia,Chordata,Aves,Bucerotiformes,Bucerotidae,Rhabdotorrhinus,Rhabdotorrhinus leucocephalus
2385.0,Animalia,Chordata,Aves,Bucerotiformes,Bucerotidae,Aceros,Aceros nipalensis
1081.0,Animalia,Chordata,Aves,Bucerotiformes,Bucerotidae,Rhabdotorrhinus,Rhabdotorrhinus waldeni
0.0709064696546686,Animalia,Arthropoda,Malacostraca,Decapoda,Acetidae,Acetes,Acetes japonicus
27.0536504006391,Animalia,Chordata,Aves,Passeriformes,Macrosphenidae,Achaetops,Achaetops pycnopygius
32.0,Animalia,Mollusca,Gastropoda,Stylommatophora,Achatinidae,Lissachatina,Lissachatina fulica
5.24e-12,Chromista,Ochrophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,Achnanthes elliptica
3.59e-11,Chromista,Ochrophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,Achnanthes lanceolata
12500.0,Animalia,Chordata,Mammalia,Carnivora,Felidae,Acinonyx,Acinonyx jubatus
0.0322,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Acleris,Acleris gloveranus
38.0,Animalia,Echinodermata,Asteroidea,Valvatida,Odontasteridae,Acodontaster,Acodontaster conspicuus
45.2,Animalia,Chordata,Mammalia,Rodentia,Muridae,Acomys,Acomys airensis
50.6065830697944,Animalia,Chordata,Mammalia,Rodentia,Muridae,Acomys,Acomys cahirinus
45.2,Animalia,Chordata,Mammalia,Rodentia,Muridae,Acomys,Acomys chudeaui
43.6,Animalia,Chordata,Mammalia,Rodentia,Muridae,Acomys,Acomys cineraceus
45.2,Animalia,Chordata,Mammalia,Rodentia,Muridae,Acomys,Acomys dimidiatus
24.0,Animalia,Chordata,Mammalia,Rodentia,Muridae,Acomys,Acomys ignitus
43.6,Animalia,Chordata,Mammalia,Rodentia,Muridae,Acomys,Acomys johannis
22.0,Animalia,Chordata,Mammalia,Rodentia,Muridae,Acomys,Acomys kempi
20.2,Animalia,Chordata,Mammalia,Rodentia,Muridae,Acomys,Acomys louisae
62.5,Animalia,Chordata,Mammalia,Rodentia,Muridae,Acomys,Acomys minous
45.2,Animalia,Chordata,Mammalia,Rodentia,Muridae,Acomys,Acomys mullah
45.2,Animalia,Chordata,Mammalia,Rodentia,Muridae,Acomys,Acomys nesiotes
22.0,Animalia,Chordata,Mammalia,Rodentia,Muridae,Acomys,Acomys percivali
49.75,Animalia,Chordata,Mammalia,Rodentia,Muridae,Acomys,Acomys russatus
45.2,Animalia,Chordata,Mammalia,Rodentia,Muridae,Acomys,Acomys seurati
21.0,Animalia,Chordata,Mammalia,Rodentia,Muridae,Acomys,Acomys subspinosus
133.5,Animalia,Chordata,Mammalia,Rodentia,Octodontidae,Aconaemys,Aconaemys fuscus
96.501,Animalia,Chordata,Mammalia,Rodentia,Octodontidae,Aconaemys,Aconaemys sagei
45000.0,Animalia,Chordata,Mammalia,Pilosa,Megalonychidae,Acratocnus,Acratocnus ye
85.0,Animalia,Chordata,Aves,Passeriformes,Sturnidae,Acridotheres,Acridotheres cinereus
28.25,Animalia,Chordata,Aves,Passeriformes,Sturnidae,Acridotheres,Acridotheres cristatellus
85.0,Animalia,Chordata,Aves,Passeriformes,Sturnidae,Acridotheres,Acridotheres fuscus
71.0,Animalia,Chordata,Aves,Passeriformes,Sturnidae,Acridotheres,Acridotheres ginginianus
99.0,Animalia,Chordata,Aves,Passeriformes,Sturnidae,Acridotheres,Acridotheres grandis
85.0,Animalia,Chordata,Aves,Passeriformes,Sturnidae,Acridotheres,Acridotheres javanicus
116.4,Animalia,Chordata,Aves,Passeriformes,Sturnidae,Acridotheres,Acridotheres tristis
3.8,Animalia,Chordata,Amphibia,Anura,Hylidae,Acris,Acris blanchardi
1.69,Animalia,Chordata,Amphibia,Anura,Hylidae,Acris,Acris crepitans
30.55,Animalia,Chordata,Aves,Passeriformes,Pycnonotidae,Acritillas,Acritillas indica
13.6,Animalia,Chordata,Aves,Passeriformes,Furnariidae,Acrobatornis,Acrobatornis fonsecai
27.5,Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Iduna,Iduna aedon
25.0,Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,Acrocephalus aequinoctialis
11.05,Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,Acrocephalus agricola
30.0,Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,Acrocephalus arundinaceus
32.225,Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,Acrocephalus astrolabii
24.2,Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,Acrocephalus australis
8.5,Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,Acrocephalus bistrigiceps
16.3745228938128,Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,Acrocephalus brevipennis
8.3,Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,Acrocephalus concinens
8.5,Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,Acrocephalus dumetorum
18.3,Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,Acrocephalus familiaris
14.4,Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,Acrocephalus gracilirostris
30.0,Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,Acrocephalus griseldis
32.225,Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,Acrocephalus hiwae
22.575,Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,Acrocephalus kerearako
32.225,Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,Acrocephalus luscinius
12.9,Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,Acrocephalus melanopogon
17.25,Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,Acrocephalus newtoni
32.225,Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,Acrocephalus nijoi
25.5,Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,Acrocephalus orientalis
10.45,Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,Acrocephalus paludicola
10.8,Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,Acrocephalus palustris
32.225,Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,Acrocephalus rehsei
26.25,Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,Acrocephalus rimitarae
11.8,Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,Acrocephalus rodericanus
22.3597853299176,Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,Acrocephalus rufescens
11.9,Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,Acrocephalus schoenobaenus
11.8,Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,Acrocephalus scirpaceus
15.9,Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,Acrocephalus sechellensis
24.2,Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,Acrocephalus stentoreus
32.225,Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,Acrocephalus syrinx
24.4,Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,Acrocephalus taiti
8.5,Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,Acrocephalus tangorum
24.5,Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,Acrocephalus vaughani
32.225,Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,Acrocephalus yamashinae
250000.0,Animalia,Chordata,Mammalia,Perissodactyla,Tapiridae,Acrocodia,Acrocodia indica
90.0,Animalia,Chordata,Aves,Passeriformes,Rhinocryptidae,Acropternis,Acropternis orthonyx
5000.0,Animalia,Chordata,Elasmobranchii,Rhinopristiformes,Rhinobatidae,Acroteriobatus,Acroteriobatus annulatus
1330.0,Animalia,Chordata,Aves,Galliformes,Numididae,Acryllium,Acryllium vulturinum
188.0,Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Actenoides,Actenoides bougainvillei
73.95,Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Actenoides,Actenoides concretus
126.5,Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Actenoides,Actenoides hombroni
93.5,Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Actenoides,Actenoides lindsayi
86.5,Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Actinia,Actinia equina
0.42,Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Actinia,Actinia equina
17.0,Animalia,Chordata,Aves,Passeriformes,Leiothrichidae,Minla,Minla cyanouroptera
35.75,Animalia,Chordata,Aves,Passeriformes,Leiothrichidae,Actinodura,Actinodura egertoni
24.0,Animalia,Chordata,Aves,Passeriformes,Leiothrichidae,Actinodura,Actinodura morrisoniana
44.0,Animalia,Chordata,Aves,Passeriformes,Leiothrichidae,Actinodura,Actinodura nipalensis
38.3,Animalia,Chordata,Aves,Passeriformes,Leiothrichidae,Actinodura,Actinodura ramsayi
47.5,Animalia,Chordata,Aves,Passeriformes,Leiothrichidae,Actinodura,Actinodura waldeni
1000.0,Animalia,Echinodermata,Holothuroidea,Holothuriida,Holothuriidae,Actinopyga,Actinopyga albonigra
1000.0,Animalia,Echinodermata,Holothuroidea,Holothuriida,Holothuriidae,Actinopyga,Actinopyga echinites
3000.0,Animalia,Echinodermata,Holothuroidea,Holothuriida,Holothuriidae,Actinopyga,Actinopyga lecanora
1149.77941578897,Animalia,Echinodermata,Holothuroidea,Holothuriida,Holothuriidae,Actinopyga,Actinopyga mauritiana
200.0,Animalia,Echinodermata,Holothuroidea,Holothuriida,Holothuriidae,Actinopyga,Actinopyga palauensis
40.0,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Actitis,Actitis hypoleucos
42.0,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Actitis,Actitis macularius
169.434412089162,Animalia,Chordata,Aves,Charadriiformes,Jacanidae,Actophilornis,Actophilornis africanus
239.0,Animalia,Chordata,Aves,Charadriiformes,Jacanidae,Actophilornis,Actophilornis albinucha
0.0005916079783099,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Acupalpus,Acupalpus flavicollis
70000.316,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Addax,Addax nasomaculatus
69.8,Animalia,Mollusca,Cephalopoda,Octopoda,Megaleledonidae,Adelieledone,Adelieledone polymorpha
3.2,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Adelomyia,Adelomyia melanogenys
5.42,Animalia,Chordata,Amphibia,Anura,Limnodynastidae,Adelotus,Adelotus brevis
0.000507692,Animalia,Arthropoda,Insecta,Trichoptera,Leptoceridae,Adicella,Adicella reducta
1482.05,Animalia,Chordata,Aves,Podicipediformes,Podicipedidae,Aechmophorus,Aechmophorus clarkii
369.3,Animalia,Chordata,Aves,Podicipediformes,Podicipedidae,Aechmophorus,Aechmophorus occidentalis
5.6,Animalia,Arthropoda,Malacostraca,Isopoda,Aegidae,Aegiochus,Aegiochus antarctica
7.0,Animalia,Chordata,Aves,Passeriformes,Aegithalidae,Aegithalos,Aegithalos bonvaloti
8.0,Animalia,Chordata,Aves,Passeriformes,Aegithalidae,Aegithalos,Aegithalos caudatus
6.1,Animalia,Chordata,Aves,Passeriformes,Aegithalidae,Aegithalos,Aegithalos concinnus
7.0,Animalia,Chordata,Aves,Passeriformes,Aegithalidae,Aegithalos,Aegithalos fuliginosus
9.0,Animalia,Chordata,Aves,Passeriformes,Aegithalidae,Aegithalos,Aegithalos glaucogularis
7.25,Animalia,Chordata,Aves,Passeriformes,Aegithalidae,Aegithalos,Aegithalos iouschistos
7.0,Animalia,Chordata,Aves,Passeriformes,Aegithalidae,Aegithalos,Aegithalos leucogenys
7.5,Animalia,Chordata,Aves,Passeriformes,Aegithalidae,Aegithalos,Aegithalos niveogularis
7.25,Animalia,Chordata,Aves,Passeriformes,Aegithalidae,Aegithalos,Aegithalos sharpei
12.0,Animalia,Chordata,Aves,Passeriformes,Aegithinidae,Aegithina,Aegithina nigrolutea
12.5,Animalia,Chordata,Aves,Passeriformes,Aegithinidae,Aegithina,Aegithina tiphia
13.525,Animalia,Chordata,Aves,Passeriformes,Aegithinidae,Aegithina,Aegithina viridissima
20.71,Animalia,Chordata,Aves,Strigiformes,Strigidae,Aegolius,Aegolius acadicus
33.5,Animalia,Chordata,Aves,Strigiformes,Strigidae,Aegolius,Aegolius funereus
80.0,Animalia,Chordata,Aves,Strigiformes,Strigidae,Aegolius,Aegolius ridgwayi
47.25,Animalia,Chordata,Aves,Apodiformes,Aegothelidae,Aegotheles,Aegotheles affinis
37.1,Animalia,Chordata,Aves,Apodiformes,Aegothelidae,Aegotheles,Aegotheles albertisi
32.8,Animalia,Chordata,Aves,Apodiformes,Aegothelidae,Aegotheles,Aegotheles albertisi
60.0,Animalia,Chordata,Aves,Apodiformes,Aegothelidae,Aegotheles,Aegotheles bennettii
136.0,Animalia,Chordata,Aves,Apodiformes,Aegothelidae,Aegotheles,Aegotheles crinifrons
42.8,Animalia,Chordata,Aves,Apodiformes,Aegothelidae,Aegotheles,Aegotheles cristatus
52.0,Animalia,Chordata,Aves,Apodiformes,Aegothelidae,Aegotheles,Aegotheles tatei
49.5,Animalia,Chordata,Aves,Apodiformes,Aegothelidae,Aegotheles,Aegotheles wallacii
9625.0,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Aegypius,Aegypius monachus
61.0,Animalia,Chordata,Aves,Gruiformes,Rallidae,Aenigmatolimnas,Aenigmatolimnas marginalis
37.0,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Aepeomys,Aepeomys lugens
13130.0,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus
1487.75,Animalia,Chordata,Aves,Galliformes,Megapodiidae,Aepypodius,Aepypodius arfakianus
812.5,Animalia,Chordata,Mammalia,Diprotodontia,Potoroidae,Aepyprymnus,Aepyprymnus rufescens
10.675,Animalia,Chordata,Aves,Apodiformes,Apodidae,Aerodramus,Aerodramus amelis
7.325,Animalia,Chordata,Aves,Apodiformes,Apodidae,Aerodramus,Aerodramus bartschi
12.5,Animalia,Chordata,Aves,Apodiformes,Apodidae,Aerodramus,Aerodramus brevirostris
11.3,Animalia,Chordata,Aves,Apodiformes,Apodidae,Aerodramus,Aerodramus elaphrus
9.275,Animalia,Chordata,Aves,Apodiformes,Apodidae,Aerodramus,Aerodramus francicus
10.7,Animalia,Chordata,Aves,Apodiformes,Apodidae,Aerodramus,Aerodramus fuciphagus
11.225,Animalia,Chordata,Aves,Apodiformes,Apodidae,Aerodramus,Aerodramus germani
10.1,Animalia,Chordata,Aves,Apodiformes,Apodidae,Aerodramus,Aerodramus hirundinaceus
16.8,Animalia,Chordata,Aves,Apodiformes,Apodidae,Aerodramus,Aerodramus maximus
20.15,Animalia,Chordata,Aves,Apodiformes,Apodidae,Aerodramus,Aerodramus papuensis
10.05,Animalia,Chordata,Aves,Apodiformes,Apodidae,Aerodramus,Aerodramus salangana
8.6,Animalia,Chordata,Aves,Apodiformes,Apodidae,Aerodramus,Aerodramus sawtelli
9.3,Animalia,Chordata,Aves,Apodiformes,Apodidae,Aerodramus,Aerodramus spodiopygius
11.875,Animalia,Chordata,Aves,Apodiformes,Apodidae,Aerodramus,Aerodramus terraereginae
11.7,Animalia,Chordata,Aves,Apodiformes,Apodidae,Aerodramus,Aerodramus unicolor
10.675,Animalia,Chordata,Aves,Apodiformes,Apodidae,Aerodramus,Aerodramus vanikorensis
12.625,Animalia,Chordata,Aves,Apodiformes,Apodidae,Aerodramus,Aerodramus vulcanorum
14.0,Animalia,Chordata,Aves,Apodiformes,Apodidae,Aerodramus,Aerodramus whiteheadi
1060.66017177982,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Aeromys,Aeromys tephromelas
1435.0,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Aeromys,Aeromys thomasi
20.1,Animalia,Chordata,Aves,Apodiformes,Apodidae,Aeronautes,Aeronautes montivagus
31.2,Animalia,Chordata,Aves,Apodiformes,Apodidae,Aeronautes,Aeronautes saxatalis
8.025,Animalia,Chordata,Aves,Apodiformes,Apodidae,Aeronautes,Aeronautes saxatalis
0.422,Animalia,Arthropoda,Insecta,Odonata,Aeshnidae,Aeshna,Aeshna cyanea
13.9,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Aethalops,Aethalops aequalis
15.0,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Aethalops,Aethalops alecto
66.0,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Aethia,Aethia cristatella
273.0,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Aethia,Aethia psittacula
